country,code,year,GDPpC
Afghanistan,AFG,2011,1792
Afghanistan,AFG,2016,1929
Albania,ALB,2011,9484
Albania,ALB,2016,10342
Algeria,DZA,2011,13204
Algeria,DZA,2016,14331
Angola,AGO,2011,8016
Angola,AGO,2016,8453
Argentina,ARG,2011,20003
Argentina,ARG,2016,18875
Armenia,ARM,2011,8465
Armenia,ARM,2016,10080
Australia,AUS,2011,46132
Australia,AUS,2016,48845
Austria,AUT,2011,41446
Austria,AUT,2016,41445
Azerbaijan,AZE,2011,16176
Azerbaijan,AZE,2016,16645
Bahrain,BHR,2011,36372
Bahrain,BHR,2016,41078
Bangladesh,BGD,2011,2772
Bangladesh,BGD,2016,3604
Barbados,BRB,2011,11870
Barbados,BRB,2016,12003
Belarus,BLR,2011,17918
Belarus,BLR,2016,17628
Belgium,BEL,2011,38130
Belgium,BEL,2016,38766
Benin,BEN,2011,1836
Benin,BEN,2016,2080
Bolivia,BOL,2011,5331
Bolivia,BOL,2016,6355
Bosnia and Herzegovina,BIH,2011,8961
Bosnia and Herzegovina,BIH,2016,9746
Botswana,BWA,2011,13376
Botswana,BWA,2016,15198
Brazil,BRA,2011,14831
Brazil,BRA,2016,13873
Bulgaria,BGR,2011,15112
Bulgaria,BGR,2016,17037
Burkina Faso,BFA,2011,1344
Burkina Faso,BFA,2016,1483
Burundi,BDI,2011,719
Burundi,BDI,2016,665
Cambodia,KHM,2011,2496
Cambodia,KHM,2016,3251
Cameroon,CMR,2011,2494
Cameroon,CMR,2016,2828
Canada,CAN,2011,42197
Canada,CAN,2016,43745
Cape Verde,CPV,2011,6295
Cape Verde,CPV,2016,6418
Central African Republic,CAF,2011,909
Central African Republic,CAF,2016,589
Chad,TCD,2011,1661
Chad,TCD,2016,2189
Chile,CHL,2011,19705
Chile,CHL,2016,21696
China,CHN,2011,10221
China,CHN,2016,12569
Colombia,COL,2011,11788
Colombia,COL,2016,13326
Comoros,COM,2011,1479
Comoros,COM,2016,1702
Congo,COG,2011,5875
Congo,COG,2016,5974
