okr;nrk;komitet;kandydat;glosy;procent;procentl;wynik;plec
1;1;PiS;Lipiński Adam Józef;25523;7.42;26.79;T;M
1;2;PiS;Witek Elżbieta Barbara;9381;2.73;9.85;T;K
1;3;PiS;Machałek Marzena Anna;11812;3.43;12.40;T;K
1;4;PiS;Ślusarz Rafał Józef;5657;1.64;5.94;N;M
1;5;PiS;Idczak Witold Lech;6289;1.83;6.60;N;M
1;6;PiS;Stachyra Jerzy Grzegorz;6451;1.87;6.77;N;M
1;7;PiS;Kubów Krzysztof Jan;6082;1.77;6.38;N;M
1;8;PiS;Zembik Wojciech Bolesław;1408;0.41;1.48;N;M
1;9;PiS;Grocki Władysław Ryszard;2333;0.68;2.45;N;M
1;10;PiS;Sidorowicz Dorota Małgorzata;2658;0.77;2.79;N;K
1;11;PiS;Horzempa Mirosław;852;0.25;0.89;N;M
1;12;PiS;Zubowski Wojciech Michał;6800;1.98;7.14;T;M
1;13;PiS;Szymański Rafał Piotr;1400;0.41;1.47;N;M
1;14;PiS;Gęborys Jarosław Andrzej;490;0.14;0.51;N;M
1;15;PiS;Buciuto Jadwiga Barbara;485;0.14;0.51;N;K
1;16;PiS;Majsner Iwona;631;0.18;0.66;N;K
1;17;PiS;Lachowicz Julian;815;0.24;0.86;N;M
1;18;PiS;Zawiślak Katarzyna Małgorzata;914;0.27;0.96;N;K
1;19;PiS;Birut Teresa Mariola;619;0.18;0.65;N;K
1;20;PiS;Troczyńska Danuta Anna;1114;0.32;1.17;N;K
1;21;PiS;Duraj Joanna Edyta;1015;0.29;1.07;N;K
1;22;PiS;Zatylna Irena;868;0.25;0.91;N;K
1;23;PiS;Tarnowski Jarosław Michał;656;0.19;0.69;N;M
1;24;PiS;Zołoteńki Paweł;1024;0.30;1.07;N;M
1;1;SLD;Zbrzyzny Ryszard;11990;3.48;26.16;T;M
1;2;SLD;Zakrzewska Elżbieta;5055;1.47;11.03;N;K
1;3;SLD;Sekuła-Szmajdzińska Małgorzata Helena;15883;4.61;34.66;T;K
1;4;SLD;Kusiak Józef;1624;0.47;3.54;N;M
1;5;SLD;Śmiechowska Adrianna Inez;255;0.07;0.56;N;K
1;6;SLD;Zdanowicz Zbigniew;613;0.18;1.34;N;M
1;7;SLD;Huzarski Michał Seweryn;1583;0.46;3.45;N;M
1;8;SLD;Świątek Andrzej Kazimierz;1112;0.32;2.43;N;M
1;9;SLD;Król Józef;643;0.19;1.40;N;M
1;10;SLD;Sienkiewicz Zbigniew Ryszard;1750;0.51;3.82;N;M
1;11;SLD;Miara Rafał;963;0.28;2.10;N;M
1;12;SLD;Szudrowicz Lucyna;573;0.17;1.25;N;K
1;13;SLD;Kamiński Paweł Ryszard;409;0.12;0.89;N;M
1;14;SLD;Chmielewska Sylwia;375;0.11;0.82;N;K
1;15;SLD;Baczmański Henryk Stanisław;595;0.17;1.30;N;M
1;16;SLD;Niczyporuk Jerzy Grzegorz;113;0.03;0.25;N;M
1;17;SLD;Kukla Agnieszka Sylwia;317;0.09;0.69;N;K
1;18;SLD;Tazbir-Suchocka Magdalena;228;0.07;0.50;N;K
1;19;SLD;Specylak Iwona Anna;165;0.05;0.36;N;K
1;20;SLD;Demecki Adam;312;0.09;0.68;N;M
1;21;SLD;Jędrzejewska Elżbieta Urszula;368;0.11;0.80;N;K
1;22;SLD;Świętochowski Waldemar Wacław;133;0.04;0.29;N;M
1;23;SLD;Piotrowicz Joanna Agnieszka;766;0.22;1.67;N;K
1;1;PSL;Grala Leszek;4326;1.26;24.05;N;M
1;2;PSL;Pawlak Józef;2233;0.65;12.42;N;M
1;3;PSL;Maćkała Tadeusz;3181;0.92;17.69;N;M
1;4;PSL;Zawis Sabina;886;0.26;4.93;N;K
1;5;PSL;Zawierucha Stefan Adam;603;0.18;3.35;N;M
1;6;PSL;Bernacki Zenon;605;0.18;3.36;N;M
1;7;PSL;Kaźmierczak-Wojtasiewicz Ewa Aldona;432;0.13;2.40;N;K
1;8;PSL;Gronowski Waldemar Ireneusz;223;0.06;1.24;N;M
1;9;PSL;Litwin Czesław;333;0.10;1.85;N;M
1;10;PSL;Kuty Roman Andrzej;569;0.17;3.16;N;M
1;11;PSL;Wrona Maria;457;0.13;2.54;N;K
1;12;PSL;Huk Kazimierz;518;0.15;2.88;N;M
1;13;PSL;Hasiuk Jan Dominik;474;0.14;2.64;N;M
1;14;PSL;Jarmułowicz Lidia Maria;215;0.06;1.20;N;K
1;15;PSL;Krosnowski Roman Piotr;134;0.04;0.75;N;M
1;16;PSL;Mikołajczyk Mariusz Piotr;234;0.07;1.30;N;M
1;18;PSL;Sasiela Michał;156;0.05;0.87;N;M
1;19;PSL;Wiśniewska Bożena;285;0.08;1.58;N;K
1;20;PSL;Kaczyńska Marcelina;431;0.13;2.40;N;K
1;21;PSL;Klimek Kazimierz Sławomir;400;0.12;2.22;N;M
1;22;PSL;Leszczyńska Ryszarda Zofia;223;0.06;1.24;N;K
1;23;PSL;Liszka Grażyna;342;0.10;1.90;N;K
1;24;PSL;Zatchiej Zenon;628;0.18;3.49;N;M
1;1;PO;Schetyna Grzegorz Juliusz;67670;19.66;49.51;T;M
1;2;PO;Drozd Ewa;14205;4.13;10.39;T;K
1;3;PO;Wojnarowski Norbert Ryszard;5981;1.74;4.38;T;M
1;4;PO;Czernow Zofia;7740;2.25;5.66;T;K
1;5;PO;Brodniak Roman Marek;5688;1.65;4.16;N;M
1;6;PO;Kropiwnicki Robert;6029;1.75;4.41;T;M
1;7;PO;Krawczyk Iwona Małgorzata;5682;1.65;4.16;N;K
1;8;PO;Kwaśniewski Dariusz Jerzy;5125;1.49;3.75;N;M
1;9;PO;Lewków Jarosław;542;0.16;0.40;N;M
1;10;PO;Godlewski Bogusław Dariusz;1128;0.33;0.83;N;M
1;11;PO;Bera Emilian Stanisław;2047;0.59;1.50;N;M
1;12;PO;Kajpust Paweł Mariusz;588;0.17;0.43;N;M
1;13;PO;Kołodziejska Halina Anastazja;1087;0.32;0.80;N;K
1;14;PO;Wróblewski Krzysztof Ryszard;606;0.18;0.44;N;M
1;15;PO;Alira Ali Jean Eric;795;0.23;0.58;N;M
1;16;PO;Zbadyńska Katarzyna;520;0.15;0.38;N;K
1;17;PO;Kosmalski Radosław;777;0.23;0.57;N;M
1;18;PO;Solpa-Tertel Beata Bogusława;669;0.19;0.49;N;K
1;19;PO;Sienkiewicz Aldona Agata;932;0.27;0.68;N;K
1;20;PO;Sokołowska Alicja;1746;0.51;1.28;N;K
1;21;PO;Radzięta Krystyna;552;0.16;0.40;N;K
1;22;PO;Sadowska Maria;1827;0.53;1.34;N;K
1;23;PO;Jedlecka Elżbieta Barbara;1018;0.30;0.74;N;K
1;24;PO;Łużniak Jerzy Lucjan;3729;1.08;2.73;N;M
2;1;PiS;Święczkowski Bogdan Roman;17109;7.59;31.53;T;M
2;2;PiS;Zalewska Anna Elżbieta;14999;6.65;27.64;T;K
2;3;PiS;Wiązowski Waldemar Bogdan;3498;1.55;6.45;N;M
2;4;PiS;Dąbrowski Andrzej Wojciech;4188;1.86;7.72;N;M
2;5;PiS;Zieliński Kamil Krzysztof;2975;1.32;5.48;N;M
2;6;PiS;Bielawska Zuzanna;1927;0.85;3.55;N;K
2;7;PiS;Szumiejko Eugeniusz;584;0.26;1.08;N;M
2;8;PiS;Błasik Robert Artur;838;0.37;1.54;N;M
2;9;PiS;Gaszyńska Elżbieta;970;0.43;1.79;N;K
2;10;PiS;Tyniec Jacek;795;0.35;1.46;N;M
2;11;PiS;Frankowska Iwona Krystyna;1032;0.46;1.90;N;K
2;12;PiS;Furmanek Janusz Marian;394;0.17;0.73;N;M
2;13;PiS;Koczot Tomasz Kazimierz;588;0.26;1.08;N;M
2;14;PiS;Mucha Beata Maria;1471;0.65;2.71;N;K
2;15;PiS;Natanek Wiesław;708;0.31;1.30;N;M
2;16;PiS;Rejman Monika;2195;0.97;4.04;N;K
2;1;SLD;Marosz Danuta;4777;2.12;23.68;N;K
2;2;SLD;Dyduch Marek;7950;3.53;39.40;N;M
2;3;SLD;Łącki Adam Edward;2085;0.92;10.33;N;M
2;4;SLD;Kamińska Marzanna;1285;0.57;6.37;N;K
2;5;SLD;Fasuga Rafał Paweł;376;0.17;1.86;N;M
2;6;SLD;Słatyńska Bożena Helena;405;0.18;2.01;N;K
2;7;SLD;Piątek Ewa Barbara;552;0.24;2.74;N;K
2;8;SLD;Godlewski Zygmunt;261;0.12;1.29;N;M
2;9;SLD;Socha Ilona Małgorzata;610;0.27;3.02;N;K
2;10;SLD;Gackiewicz Michał Krzysztof;128;0.06;0.63;N;M
