02.html;4;4;KW Narodowego Odrodzenia Polski;DUBLAŃSKI Kacper Jacek;108;0.08 %;N
02.html;4;3;KWW BEZPARTYJNI SAMORZĄDOWCY;KAZIÓW Ludwik Stanisław;858;0.61 %;N
02.html;4;8;KWW BEZPARTYJNI SAMORZĄDOWCY;KUPCZAK Elżbieta Maria;583;0.41 %;N
02.html;4;7;KWW BEZPARTYJNI SAMORZĄDOWCY;SEMENIUK-OLCHAWA Karolina Marta;369;0.26 %;N
02.html;4;6;KWW BEZPARTYJNI SAMORZĄDOWCY;SZEFFS Irena Ewa;509;0.36 %;N
02.html;4;10;KWW BEZPARTYJNI SAMORZĄDOWCY;ZIELIŃSKI Jerzy Andrzej;2648;1.87 %;N
02.html;4;1;KW Twój Ruch;JĘDRASZKO Janusz;528;0.37 %;N
02.html;4;5;KWW BEZPARTYJNI SAMORZĄDOWCY;STACHOWICZ Honorata;465;0.33 %;N
02.html;4;4;KWW BEZPARTYJNI SAMORZĄDOWCY;SYPOSZ Jolanta Elżbieta;975;0.69 %;N
02.html;4;9;KWW BEZPARTYJNI SAMORZĄDOWCY;NALICHOWSKI Jerzy Kazimierz;487;0.34 %;N
02.html;4;2;KWW „Nasza Gmina Lubawka-Kalwaria Lubawska”;NIEDZIELSKA Joanna;282;0.20 %;N
02.html;4;3;KWW „Nasza Gmina Lubawka-Kalwaria Lubawska”;GRZĄDKO Janusz;75;0.05 %;N
02.html;4;4;KWW „Nasza Gmina Lubawka-Kalwaria Lubawska”;NAJDA Angelika;277;0.20 %;N
02.html;4;5;KWW „Nasza Gmina Lubawka-Kalwaria Lubawska”;KUŹNIAR Dominik;368;0.26 %;N
02.html;4;4;KW Twój Ruch;ANDREJKÓW Ewa Jolanta;202;0.14 %;N
02.html;4;5;KW Twój Ruch;KWIATKOWSKI Paweł Zbigniew;496;0.35 %;N
02.html;4;1;KWW „Nasza Gmina Lubawka-Kalwaria Lubawska”;KMIECIK Henryk Ryszard;444;0.31 %;N
02.html;4;5;KW Narodowego Odrodzenia Polski;PYRZYŃSKI Piotr;163;0.12 %;N
02.html;4;1;KWW BEZPARTYJNI SAMORZĄDOWCY;ROMAN Piotr;4234;3.00 %;N
02.html;4;2;KWW BEZPARTYJNI SAMORZĄDOWCY;GIERUS Wiesław;1107;0.78 %;N
02.html;4;1;KW Narodowego Odrodzenia Polski;STEMLER Anetta Elżbieta;270;0.19 %;N
02.html;4;7;KW Nowa Prawica — Janusza Korwin-Mikke;KAMIŃSKI Michał Marek;430;0.30 %;N
02.html;4;6;KW Nowa Prawica — Janusza Korwin-Mikke;MAGDZIARZ Rafał Paweł;176;0.12 %;N
02.html;4;8;KW Nowa Prawica — Janusza Korwin-Mikke;OLEJNIK Magdalena Pola;567;0.40 %;N
02.html;4;5;KW Nowa Prawica — Janusza Korwin-Mikke;WIELICZKO Agnieszka Edyta;385;0.27 %;N
02.html;4;3;KWW Ruch Narodowy;SZCZEPANIAK Mateusz Dawid;271;0.19 %;N
02.html;4;4;PSL;JASIŃSKI Andrzej;4618;3.27 %;T
02.html;4;4;PiS;WILK Marcin Feliks;1804;1.28 %;N
02.html;4;4;KW Nowa Prawica — Janusza Korwin-Mikke;MARCINIK Grzegorz Jan;278;0.20 %;N
02.html;4;3;PSL;MAJKOWSKI Władysław;1306;0.92 %;N
02.html;4;2;PSL;BAĆKO Sylwester Ryszard;2354;1.67 %;N
02.html;4;3;PiS;KREDKOWSKI Andrzej;2398;1.70 %;N
